ixdat version = 0.2.1dev
name = RuO2 G-450OX-10cyc.txt AND timescan-RuO2G-450Ox-CV-10cyc.txt
technique = EC-MS
tstamp = 1608572231.4
backend_name = BackendBase(none, address=none)
id = 6
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M4' and 'M28' and 'M45' and 'M31' and 'M32' and 'M44' and 'M18'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M4,	M28,	M45,	M31,	M32,	M44,	M18
56,	0.73,	0.003958,	0.0,	9.805728736939349e-12,	6.637794758286377e-13,	8.740291648335827e-14,	9.804337864737035e-14,	3.162735922528311e-13,	1.341847572864076e-13,	4.882524853355209e-12
58,	0.74,	0.004117,	0.0,	9.94692864205801e-12,	6.654279123582538e-13,	8.612141729988405e-14,	9.843635913292484e-14,	3.141698056888526e-13,	1.411726698460441e-13,	4.863378155186426e-12
60,	0.75,	0.004132,	0.0,	9.909107893371582e-12,	6.56837057800293e-13,	8.679055825805665e-14,	1.0068892179870605e-13,	3.173218293762207e-13,	1.3497827941894533e-13,	4.8689e-12
62,	0.76,	0.004294,	0.0,	9.943789735433049e-12,	6.53794639733762e-13,	8.954958542845914e-14,	9.548589135267827e-14,	3.2581069089137477e-13,	1.3526634720146487e-13,	4.893546100926608e-12
64,	0.77,	0.004403,	0.0,	9.902478522425828e-12,	6.582374347366819e-13,	9.058611972759578e-14,	9.39261301253331e-14,	3.219145000798204e-13,	1.4004920285481329e-13,	4.8884e-12
66,	0.78,	0.004535,	0.0,	9.971035444440612e-12,	6.461511422197285e-13,	9.281801606790986e-14,	9.746023221874998e-14,	3.206079130795349e-13,	1.350960233753452e-13,	4.893900395643417e-12
68,	0.79,	0.004594,	0.0,	9.937112668875902e-12,	6.536076181136924e-13,	9.12212004822504e-14,	9.616167890454549e-14,	3.1698385775613523e-13,	1.374490926819854e-13,	4.939911949030674e-12
70,	0.8,	0.004683,	0.0,	9.90567826109942e-12,	6.65318478073267e-13,	8.544793472903213e-14,	9.872889139645896e-14,	3.1320804316153376e-13,	1.390882607884398e-13,	4.909793476479491e-12
72,	0.81,	0.0048779999999999995,	0.0,	9.827658836020047e-12,	6.596e-13,	9.052394201546503e-14,	9.491122042149664e-14,	3.1924414192132963e-13,	1.3881822975244625e-13,	4.876770995275434e-12
74,	0.82,	0.0049960000000000004,	0.0,	9.865398215928243e-12,	6.393111800544741e-13,	8.774178565956835e-14,	9.947329048437065e-14,	3.120644369559165e-13,	1.3347497021883725e-13,	4.883938463690776e-12
