ixdat version = 0.2.0
name = RuG-450Red CV-46cyc.txt AND timescan-RuG-450Red CV-46cyc.txt
technique = EC-MS
tstamp = 1583411924.38
backend_name = BackendBase(none, address=none)
id = 3
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M28' and 'M4' and 'M44' and 'M32' and 'M18'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M28,	M4,	M44,	M32,	M18
68,	0.7899995005131959,	0.014329087712624618,	0.0,	9.411261942035566e-13,	3.190640724400432e-11,	1.4429005753728652e-13,	4.2953e-13,	7.422704592817081e-12
70,	0.7999995005131959,	0.0146331877625733,	0.0,	9.706242932344668e-13,	3.179005900847465e-11,	1.5041559532486168e-13,	4.4135674525424565e-13,	7.336179039830454e-12
72,	0.81,	0.0150633,	0.0,	9.617108749335893e-13,	3.165270549282555e-11,	1.4519673405949435e-13,	4.4026180532672034e-13,	7.333289771519014e-12
74,	0.82,	0.0156255,	0.0,	9.6201e-13,	3.1837230765161267e-11,	1.5209487223799531e-13,	4.413784633643113e-13,	7.32309742959423e-12
76,	0.83,	0.0162891,	0.0,	9.7589e-13,	3.2007e-11,	1.5049344696918118e-13,	4.441508027778873e-13,	7.410999602858635e-12
78,	0.84,	0.0171031,	0.0,	9.47947050109144e-13,	3.184933264128062e-11,	1.5103412097986902e-13,	4.2953e-13,	7.403264289886005e-12
80,	0.8500005006788968,	0.017736027687542993,	0.0,	9.831203498571637e-13,	3.1823644657061513e-11,	1.5214010911885367e-13,	4.2876391383997077e-13,	7.385727227924803e-12
82,	0.8600005006788968,	0.01827973229378884,	0.0,	9.537889463167854e-13,	3.1975535496155207e-11,	1.5538365980065007e-13,	4.363157284934202e-13,	7.354585697188636e-12
84,	0.8700005006788968,	0.01866997690427854,	0.0,	9.665778741149956e-13,	3.1977218649985554e-11,	1.543603487537706e-13,	4.232248402676683e-13,	7.405118077780988e-12
86,	0.8800010001668932,	0.019204344690770807,	0.0,	9.980312488419203e-13,	3.180625002883051e-11,	1.5113374821024063e-13,	4.5035125594264895e-13,	7.323724993553627e-12
