ixdat version = 0.2.1dev
name = 02-RuO2 rgo 450oxo-50Ag.txt AND timescan-sem190-LOW.txt
technique = EC-MS
tstamp = 1577206441.2
backend_name = BackendBase(none, address=none)
id = 12
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M4' and 'M28' and 'M44' and 'M32' and 'M18'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M4,	M28,	M44,	M32,	M18
20,	1.21625,	0.257,	0.0,	7.340319351444986e-11,	1.459921222571861e-12,	8.48309900104264e-13,	2.0035003912371172e-11,	1.9126672259422007e-11
22,	1.2171000000476837,	0.257,	0.0,	7.26026355471977e-11,	1.5380926827385423e-12,	8.52475525787099e-13,	2.2204761632967193e-11,	1.916690129871047e-11
24,	1.21788,	0.257,	0.0,	6.882278095773736e-11,	1.5953704154032518e-12,	8.413587277664082e-13,	3.2158804871075265e-11,	1.9374248517760537e-11
26,	1.2186700000357629,	0.257,	0.0,	7.307811758295813e-11,	1.5586677177011083e-12,	8.211877524871553e-13,	2.4870504270587432e-11,	1.9334516290366996e-11
28,	1.21927,	0.257,	0.0,	6.873272160806622e-11,	1.5771364261455507e-12,	8.57191175911957e-13,	3.338898929469995e-11,	1.941084009833295e-11
30,	1.2198800000357628,	0.257,	0.0,	7.058096175779869e-11,	1.547537572724725e-12,	8.624784325576343e-13,	3.34563663543869e-11,	1.9471467465502192e-11
32,	1.22047,	0.257,	0.0,	7.108708047823574e-11,	1.5308185134367403e-12,	8.689986826271004e-13,	2.980644736851368e-11,	1.964900984532595e-11
34,	1.220770000014901,	0.257,	0.0,	6.736459027667785e-11,	1.632178955640523e-12,	8.801532887934896e-13,	3.9701000881527695e-11,	1.975620842539803e-11
36,	1.22119,	0.257,	0.0,	7.087202362788838e-11,	1.5566195274422324e-12,	8.66961302738639e-13,	3.3623491209433286e-11,	1.9675633140411824e-11
38,	1.221605000025332,	0.257,	0.0,	7.18593489921093e-11,	1.5179845974445341e-12,	8.65227539935112e-13,	2.9635894962549206e-11,	1.9543801995754242e-11
40,	1.22202,	0.257,	0.0,	7.27991693374944e-11,	1.540521651057994e-12,	8.75723030734172e-13,	2.6568389636254453e-11,	1.9367925186082642e-11
42,	1.222465000025332,	0.257,	0.0,	7.275878400874295e-11,	1.5176201114313014e-12,	8.571779270467319e-13,	2.4913091708864096e-11,	1.9445094663937943e-11
44,	1.2229,	0.257,	0.0,	7.066500769529675e-11,	1.5356254716299478e-12,	8.858354023332076e-13,	2.920942411050198e-11,	1.9368928910295047e-11
46,	1.223290000026822,	0.257,	0.0,	7.245722821467903e-11,	1.5573850369583985e-12,	8.573440163696877e-13,	2.778274040652713e-11,	1.9542e-11
48,	1.22369,	0.257,	0.0,	7.025044290746468e-11,	1.59902975982551e-12,	8.743191878430403e-13,	3.294444886601854e-11,	1.955846292435465e-11
50,	1.223975000025332,	0.257,	0.0,	7.204950439532765e-11,	1.5486199413956314e-12,	8.671385981458425e-13,	2.7959601220100594e-11,	1.9182569580331528e-11
52,	1.22429,	0.257,	0.0,	7.002207469423875e-11,	1.5743870091680858e-12,	8.812865754598298e-13,	3.302378386042376e-11,	1.9463e-11
54,	1.2246900000298024,	0.257,	0.0,	7.185558884149254e-11,	1.5479210062064075e-12,	8.860170401859947e-13,	2.981911808115826e-11,	1.9582014809932887e-11
56,	1.22513,	0.257,	0.0,	7.183115512976513e-11,	1.5491229006573574e-12,	8.488217969370392e-13,	2.8500415398121365e-11,	1.9418737403944143e-11
58,	1.225500000011921,	0.257,	0.0,	7.176694367650256e-11,	1.5578137846682035e-12,	8.549543891935735e-13,	2.8628299075514574e-11,	1.9412069899468372e-11
60,	1.22591,	0.257,	0.0,	7.182361242330163e-11,	1.5476718935279932e-12,	8.549860945294454e-13,	2.9522997043750516e-11,	1.9498437870559867e-11
62,	1.2262350000223516,	0.257,	0.0,	7.17497769197638e-11,	1.540531789221974e-12,	8.444206413412634e-13,	2.983524089102176e-11,	1.9407457063473943e-11
64,	1.22653,	0.257,	0.0,	7.26037361797601e-11,	1.5516791330481228e-12,	8.671832680498229e-13,	2.6736389685533884e-11,	1.9429106280240848e-11
66,	1.226775000013411,	0.257,	0.0,	7.203809774551002e-11,	1.5424875691272845e-12,	8.499708301387437e-13,	2.710737849492502e-11,	1.9374979314012807e-11
68,	1.22709,	0.257,	0.0,	7.312277589218679e-11,	1.5412081940440074e-12,	8.413703145548304e-13,	2.4572505417726762e-11,	1.934254985301836e-11
70,	1.2272750000193715,	0.257,	0.0,	7.316751968208667e-11,	1.5065409449635603e-12,	8.384705511106293e-13,	2.3878440943884107e-11,	1.9357e-11
72,	1.22755,	0.257,	0.0,	7.006091083311535e-11,	1.5344174355427666e-12,	8.276831664665909e-13,	2.982077556758797e-11,	1.9397982969076057e-11
74,	1.227865000013411,	0.257,	0.0,	7.13912492909881e-11,	1.544068378716878e-12,	8.452545779506088e-13,	3.045925989332909e-11,	1.940167312932784e-11
76,	1.2282,	0.257,	0.0,	7.189357202357664e-11,	1.5322714015251265e-12,	8.588128971715184e-13,	2.8992311462150226e-11,	1.92344911018607e-11
78,	1.2284600000208616,	0.257,	0.0,	7.172857215839973e-11,	1.498981664443338e-12,	8.343082463217131e-13,	2.8175861691921194e-11,	1.9285483970772468e-11
80,	1.22869,	0.257,	0.0,	7.142244499254226e-11,	1.5453074996471404e-12,	8.479339003658294e-13,	2.9387035003185275e-11,	1.9274050004005432e-11
82,	1.2288850000104308,	0.257,	0.0,	6.903316801452638e-11,	1.5433592021942138e-12,	8.550108790206909e-13,	3.626049603652954e-11,	1.9559063999176025e-11
84,	1.22901,	0.257,	0.0,	7.127699114065662e-11,	1.5790059167312482e-12,	8.389684319416021e-13,	3.2702038428892005e-11,	1.9392437870559865e-11
86,	1.2290299999880792,	0.257,	0.0,	7.296818957736601e-11,	1.5732703824817655e-12,	8.330531178041956e-13,	2.7415980942753655e-11,	1.9359050372926194e-11
88,	1.2291,	0.257,	0.0,	7.262291692123063e-11,	1.4907674585424394e-12,	8.267530778147502e-13,	2.635574008564259e-11,	1.942628993017674e-11
90,	1.2293550000193716,	0.257,	0.0,	7.008314802899113e-11,	1.5746141995168145e-12,	8.296860023559702e-13,	3.4463538370218845e-11,	1.9350461536670957e-11
92,	1.22974,	0.257,	0.0,	7.167202665133696e-11,	1.521381144974028e-12,	8.457185885126023e-13,	3.122060810411337e-11,	1.943924679217573e-11
94,	1.229870000011921,	0.257,	0.0,	7.196151810381305e-11,	1.5146797046002539e-12,	8.310358912444197e-13,	2.9110025641539245e-11,	1.930752509696012e-11
96,	1.23004,	0.257,	0.0,	7.02942218774218e-11,	1.596463904835712e-12,	8.312848519171301e-13,	3.3227085854676576e-11,	1.9406073968545675e-11
98,	1.2301550000074506,	0.257,	0.0,	6.970335276425362e-11,	1.5758023305473038e-12,	8.303577060658179e-13,	3.653350934987728e-11,	1.9745381910634046e-11
100,	1.23032,	0.257,	0.0,	6.84408579192363e-11,	1.592030260839028e-12,	8.625972949713504e-13,	4.0557023675110456e-11,	1.9611492979671112e-11
102,	1.23025,	0.257,	0.0,	7.343656934154148e-11,	1.5381286130072956e-12,	8.273197574304626e-13,	2.927397768068881e-11,	1.9346612026333807e-11
104,	1.23031,	0.257,	0.0,	7.2846e-11,	1.5338102047341736e-12,	8.416769392192381e-13,	2.7015508274678644e-11,	1.924455102367087e-11
106,	1.230580000014901,	0.257,	0.0,	7.120784020287682e-11,	1.548206509227317e-12,	8.044098215293401e-13,	2.956698229589111e-11,	1.9147e-11
108,	1.23073,	0.257,	0.0,	7.185311218462046e-11,	1.561884055007107e-12,	8.174178446820339e-13,	2.7676752999767916e-11,	1.909569685524496e-11
110,	1.2310200000059606,	0.257,	0.0,	7.040591417824117e-11,	1.5565e-12,	8.05483667602158e-13,	3.301631079956285e-11,	1.9356307693537586e-11
112,	1.23114,	0.257,	0.0,	7.198526047536999e-11,	1.580412426546382e-12,	8.178085791380439e-13,	3.0439869570451515e-11,	1.9368289920771667e-11
114,	1.2313100000059605,	0.257,	0.0,	7.106351580455609e-11,	1.5562023360849168e-12,	7.933215714355555e-13,	3.0676130612133305e-11,	1.9313655026403294e-11
116,	1.23125,	0.257,	0.0,	7.234117451578582e-11,	1.4869724875588551e-12,	8.370262132787839e-13,	2.8354044516314858e-11,	1.9368603554646396e-11
118,	1.2314150000163913,	0.257,	0.0,	7.266047337154144e-11,	1.5056692306064508e-12,	8.321586986086374e-13,	2.5904562124605427e-11,	1.9048982245578148e-11
120,	1.2317,	0.257,	0.0,	7.164197530143593e-11,	1.5114271484149753e-12,	8.028851436277752e-13,	2.901642948294001e-11,	1.91641026612032e-11
122,	1.2321150000610948,	0.257,	0.0,	7.1659e-11,	1.491692301712852e-12,	8.060961535086565e-13,	2.926357697652306e-11,	1.9147e-11
124,	1.23246,	0.257,	0.0,	7.211780470366497e-11,	1.501968049439646e-12,	7.827949107764264e-13,	2.855906512166402e-11,	1.916998815501629e-11
126,	1.232685000013411,	0.257,	0.0,	7.13122856463647e-11,	1.5058708457813807e-12,	7.854434428761488e-13,	2.8892705628764826e-11,	1.9147e-11
128,	1.233,	0.257,	0.0,	7.1268e-11,	1.4860845932861147e-12,	8.004175287938932e-13,	3.034772965991625e-11,	1.9203773261173214e-11
130,	1.2332300000089407,	0.257,	0.0,	7.006805918612262e-11,	1.5333491115733182e-12,	8.198897039847411e-13,	3.314860942872648e-11,	1.9312147929332165e-11
132,	1.23342,	0.257,	0.0,	7.173084803345862e-11,	1.475482424832248e-12,	7.965963467613437e-13,	3.054601560076539e-11,	1.9198579453167108e-11
134,	1.2336299999940394,	0.257,	0.0,	7.265468045513029e-11,	1.5094538474271482e-12,	8.073810345485942e-13,	2.7060251424868517e-11,	1.9146100574085638e-11
136,	1.23358,	0.257,	0.0,	7.199269229705734e-11,	1.5113000008464566e-12,	7.941999986597772e-13,	2.7448923194884394e-11,	1.9243615401653036e-11
138,	1.2338950000163913,	0.257,	0.0,	6.958529227810951e-11,	1.5085634702965286e-12,	7.967101487703674e-13,	3.3140064922578687e-11,	1.92472961238741e-11
140,	1.23416,	0.257,	0.0,	6.99267474361177e-11,	1.548489233059454e-12,	8.007147357531368e-13,	3.585557324840015e-11,	1.931588745913581e-11
142,	1.234425000013411,	0.257,	0.0,	6.96754556127593e-11,	1.5499846153701461e-12,	8.292166273597328e-13,	3.6776526650214057e-11,	1.9307917159178975e-11
144,	1.23432,	0.257,	0.0,	7.2053e-11,	1.5011811427145827e-12,	8.013686864101411e-13,	3.019143225735085e-11,	1.9303929903055664e-11
146,	1.2343150000044703,	0.257,	0.0,	6.982375045169335e-11,	1.5072669303127274e-12,	7.901904710726329e-13,	3.4301599328462234e-11,	1.941169938973916e-11
148,	1.2345,	0.257,	0.0,	6.827371343572111e-11,	1.5692563130029365e-12,	8.043748700308368e-13,	4.076092589148946e-11,	1.9429192388476024e-11
150,	1.2347000000029802,	0.257,	0.0,	7.000357696580669e-11,	1.5863653822161873e-12,	7.994607683002098e-13,	3.739296138748303e-11,	1.9463e-11
152,	1.23465,	0.257,	0.0,	7.11856199552865e-11,	1.538e-12,	7.930601977486033e-13,	3.2688617925080064e-11,	1.9274285287310927e-11
154,	1.2343099999910594,	0.257,	0.0,	7.190845562075361e-11,	1.5229946745891863e-12,	7.960867455814969e-13,	2.9532142011660406e-11,	1.9357e-11
156,	1.23447,	0.257,	0.0,	7.205776038390567e-11,	1.541311240801839e-12,	7.947974568260137e-13,	2.9395269150373945e-11,	1.932882542844809e-11
158,	1.2346900000059604,	0.257,	0.0,	7.202252615472965e-11,	1.5053281375814047e-12,	7.915448655135649e-13,	2.868068608958231e-11,	1.924144420981776e-11
160,	1.23482,	0.257,	0.0,	7.226492897761006e-11,	1.4766355036709166e-12,	7.894795852011215e-13,	2.8793e-11,	1.9132183449427172e-11
162,	1.2350600000089407,	0.257,	0.0,	7.136864205453766e-11,	1.522818941835517e-12,	8.019850539674702e-13,	3.090483139906302e-11,	1.9089076931595746e-11
164,	1.23507,	0.257,	0.0,	7.1955e-11,	1.5469882479647337e-12,	7.870800689319178e-13,	3.058080755925749e-11,	1.9170943725684484e-11
166,	1.2350249999716878,	0.257,	0.0,	7.158151479370913e-11,	1.5833923073558955e-12,	8.034056806686255e-13,	3.05727396403124e-11,	1.9168124261231537e-11
168,	1.23469,	0.257,	0.0,	7.240460353980908e-11,	1.5326075761728792e-12,	8.049e-13,	2.8968929916293998e-11,	1.9166591851275007e-11
170,	1.2345500000029803,	0.257,	0.0,	7.042722503247325e-11,	1.4797483993925529e-12,	7.964106208549909e-13,	3.195647425599406e-11,	1.9167965079652858e-11
172,	1.23459,	0.257,	0.0,	6.9334e-11,	1.5217976362236291e-12,	8.054526631961957e-13,	3.655855041905467e-11,	1.9165579897602295e-11
174,	1.2347600000208616,	0.257,	0.0,	6.982439046476108e-11,	1.5669742622190706e-12,	7.952411225330494e-13,	3.719985517175544e-11,	1.936672188729713e-11
176,	1.23508,	0.257,	0.0,	7.202849655928808e-11,	1.5518654487706027e-12,	8.047657853338448e-13,	3.2346268548518064e-11,	1.9245469895241747e-11
178,	1.2350100000149011,	0.257,	0.0,	7.127843787432189e-11,	1.5187816576158516e-12,	7.892866863201337e-13,	3.126772781743061e-11,	1.9272426033100214e-11
180,	1.23522,	0.257,	0.0,	6.894293484024544e-11,	1.5889207109106367e-12,	8.050806225758425e-13,	3.6856698518983194e-11,	1.930587279427532e-11
182,	1.2353650000223517,	0.257,	0.0,	6.883652470060987e-11,	1.6783960700359247e-12,	8.114120558040255e-13,	4.0542483177762867e-11,	1.9360265733689738e-11
184,	1.23549,	0.257,	0.0,	7.045250306370244e-11,	1.6538650833853747e-12,	7.98407929835336e-13,	3.594714756276945e-11,	1.9156940799769762e-11
186,	1.2353400000029802,	0.257,	0.0,	7.174621644299992e-11,	1.6463863751652864e-12,	7.864013801068584e-13,	3.111591371850599e-11,	1.945662725998975e-11
188,	1.2354,	0.257,	0.0,	7.283566535278323e-11,	1.517034350413818e-12,	7.727082191939623e-13,	2.6061337630968884e-11,	1.8957809057934538e-11
190,	1.2353599999970197,	0.257,	0.0,	7.283317201517445e-11,	1.5260530615933172e-12,	7.9253e-13,	2.476873467396087e-11,	1.895234110421857e-11
192,	1.23549,	0.257,	0.0,	7.147130897980718e-11,	1.489780178380649e-12,	8.380388972874733e-13,	2.8199510439327338e-11,	1.909901749051597e-11
194,	1.2357400000089407,	0.257,	0.0,	7.2053e-11,	1.523564953555828e-12,	8.147632581682092e-13,	2.8234811601865035e-11,	1.895675434552594e-11
196,	1.23589,	0.257,	0.0,	7.148487572560136e-11,	1.5083769253124365e-12,	7.712014139821454e-13,	2.9453e-11,	1.9065153831250424e-11
198,	1.2358749999925494,	0.257,	0.0,	6.9856651545955e-11,	1.5440049356175699e-12,	7.908226066281777e-13,	3.486879559266904e-11,	1.9366674227022497e-11
200,	1.23601,	0.257,	0.0,	7.12020167388141e-11,	1.5545519680913348e-12,	8.047236414283244e-13,	3.281067715544117e-11,	1.9177427163947733e-11
202,	1.2358999999821185,	0.257,	0.0,	7.1307307698005e-11,	1.5775047340433536e-12,	8.040773361377693e-13,	3.187573962267789e-11,	1.9147e-11
204,	1.23601,	0.257,	0.0,	7.271784702871144e-11,	1.527904733397194e-12,	7.974812615661253e-13,	2.8299466735548372e-11,	1.9155803555096345e-11
206,	1.2361300000029802,	0.257,	0.0,	7.2846e-11,	1.5028384626091929e-12,	7.749728364664766e-13,	2.614678097654751e-11,	1.9248724868234932e-11
208,	1.23641,	0.257,	0.0,	7.2846e-11,	1.5074076923836564e-12,	7.801785206270831e-13,	2.546108875800166e-11,	1.8904544377942757e-11
210,	1.2366400000089406,	0.257,	0.0,	7.256950049613658e-11,	1.4865918068032847e-12,	7.816191215793525e-13,	2.58462349331463e-11,	1.8981195459926615e-11
212,	1.23692,	0.257,	0.0,	7.155402663704696e-11,	1.5579363902954697e-12,	7.859622490162294e-13,	2.863685796835381e-11,	1.9088230770388316e-11
214,	1.2373550000014901,	0.257,	0.0,	7.196207693020307e-11,	1.5036538445586011e-12,	7.742046146694682e-13,	2.860599997648732e-11,	1.9041999992946195e-11
216,	1.2373,	0.257,	0.0,	7.1562e-11,	1.5617898315536278e-12,	7.724976684875601e-13,	2.988875610462174e-11,	1.9121e-11
218,	1.2374000000178815,	0.257,	0.0,	7.011718630579089e-11,	1.5312097641819092e-12,	8.059433416576065e-13,	3.255149744699301e-11,	1.9096846142415372e-11
220,	1.23762,	0.257,	0.0,	7.03353669317721e-11,	1.5169e-12,	7.813358002715714e-13,	3.3715331257869395e-11,	1.9204378707390623e-11
222,	1.237975000037253,	0.257,	0.0,	7.178662684692021e-11,	1.4683099706978157e-12,	7.9253e-13,	3.0990199413956314e-11,	1.9207014806429064e-11
224,	1.2383,	0.257,	0.0,	7.173768343113042e-11,	1.5083745563156944e-12,	7.93153964426253e-13,	2.9738923079202e-11,	1.9063769230552192e-11
226,	1.2387450000163913,	0.257,	0.0,	7.161498219784323e-11,	1.493279292287088e-12,	7.664150293908522e-13,	2.944984031268105e-11,	1.9182976341539573e-11
228,	1.23905,	0.257,	0.0,	6.911780756796577e-11,	1.5361448250224178e-12,	7.593102630418257e-13,	3.637385017075289e-11,	1.9417392874273623e-11
230,	1.239215000013411,	0.257,	0.0,	6.9265624093351e-11,	1.5747485185129452e-12,	7.85253728528219e-13,	3.794054198330411e-11,	1.94109911150278e-11
232,	1.23944,	0.257,	0.0,	6.840850903980109e-11,	1.6369236691766448e-12,	8.057299982153879e-13,	4.258265656656145e-11,	1.9507532524027018e-11
234,	1.239775000064075,	0.257,	0.0,	7.070138557764854e-11,	1.5719482964794373e-12,	7.844301363420042e-13,	3.592892409838539e-11,	1.94270116864575e-11
236,	1.24022,	0.257,	0.0,	7.12434289902902e-11,	1.5537008876037381e-12,	7.90734970392831e-13,	3.2615284030374626e-11,	1.9252e-11
238,	1.239519999985099,	0.257,	0.0,	7.096327701851207e-11,	1.5168603529150898e-12,	7.802287481403236e-13,	3.3263687867923994e-11,	1.9269670533573344e-11
240,	1.23978,	0.257,	0.0,	7.147100206645124e-11,	1.5360955560942658e-12,	7.869315700745853e-13,	3.100841052619192e-11,	1.9233135225462068e-11
242,	1.2398199999970199,	0.257,	0.0,	7.192527513052474e-11,	1.540113316427719e-12,	7.887066877528347e-13,	2.9557230732478646e-11,	1.914234614350962e-11
244,	1.23977,	0.257,	0.0,	7.115927206517714e-11,	1.531015980460966e-12,	7.673519518084187e-13,	3.1396822950958437e-11,	1.90234615458409e-11
246,	1.239569999973178,	0.257,	0.0,	7.177857360308603e-11,	1.5354556749505157e-12,	8.013501478524676e-13,	3.1437456953090616e-11,	1.916218855637905e-11
248,	1.23933,	0.257,	0.0,	7.260657987587185e-11,	1.5249230765685779e-12,	7.808584318193361e-13,	2.8273473368125834e-11,	1.9147e-11
250,	1.2392350000581145,	0.257,	0.0,	7.051720713943772e-11,	1.5371260342993596e-12,	8.004041400894987e-13,	3.1771751401826085e-11,	1.9147e-11
252,	1.23967,	0.257,	0.0,	7.164806604766847e-11,	1.4830844009399414e-12,	7.505239380645752e-13,	3.0148321907043454e-11,	1.9250530006408692e-11
254,	1.23982,	0.257,	0.0,	7.116574347731594e-11,	1.5526463666067494e-12,	7.653235838837352e-13,	3.169434402903842e-11,	1.9044516021777884e-11
256,	1.23998,	0.257,	0.0,	6.97140816276597e-11,	1.6010734676972959e-12,	7.670951026717477e-13,	3.558340811281161e-11,	1.9147e-11
258,	1.2401650000104307,	0.257,	0.0,	7.112310290017382e-11,	1.594668772343072e-12,	7.809982333482181e-13,	3.363338299578177e-11,	1.905739279568821e-11
260,	1.24023,	0.257,	0.0,	7.119194379998796e-11,	1.6014517767122875e-12,	8.042946746597245e-13,	3.282240826856373e-11,	1.9136846155582475e-11
262,	1.24035,	0.257,	0.0,	7.058438769616531e-11,	1.5087816328497692e-12,	7.826685737217324e-13,	3.19687959419723e-11,	1.9152040821244233e-11
264,	1.24031,	0.257,	0.0,	7.055687459771278e-11,	1.5531842080761057e-12,	7.7417e-13,	3.2815955642141486e-11,	1.8986892389434267e-11
266,	1.240630000014901,	0.257,	0.0,	6.867337987917375e-11,	1.577502850631263e-12,	7.742043587888435e-13,	3.720403758636906e-11,	1.923414358065333e-11
268,	1.2409,	0.257,	0.0,	6.833687172932612e-11,	1.648731752620632e-12,	7.683901329769136e-13,	4.1005597911137674e-11,	1.9188824175052e-11
270,	1.240504999974668,	0.257,	0.0,	6.9154455161175e-11,	1.6359606117591458e-12,	7.635003152821636e-13,	3.915203236562357e-11,	1.9287588370113272e-11
272,	1.23987,	0.257,	0.0,	7.106287871664962e-11,	1.5607239624558901e-12,	7.713018932035183e-13,	3.375143781130791e-11,	1.9150423076615603e-11
274,	1.239319999985099,	0.257,	0.0,	7.215882972062261e-11,	1.5328498986482047e-12,	7.732018044561345e-13,	2.901690765698778e-11,	1.90613406829809e-11
276,	1.23923,	0.257,	0.0,	7.254065928237912e-11,	1.5015541132583915e-12,	7.710602465410788e-13,	2.6029797449303198e-11,	1.8860072134766236e-11
278,	1.2393350000074506,	0.257,	0.0,	7.10831402589063e-11,	1.5548434867780434e-12,	7.737224948135606e-13,	2.9010911872096812e-11,	1.91120901814561e-11
