ixdat version = 0.2.1dev
name = 01-Ru rgo 450H-50Ag.txt AND timescan-sem190-LOW.txt
technique = EC-MS
tstamp = 1577186652.6
backend_name = BackendBase(none, address=none)
id = 9
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M4' and 'M28' and 'M44' and 'M32' and 'M18'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M4,	M28,	M44,	M32,	M18
22,	1.1502099999016522,	0.118,	0.0,	8.0287e-11,	1.2832619354929727e-12,	9.612831542208195e-13,	1.2986528561200557e-12,	1.8110601601213255e-11
24,	1.15177,	0.118,	0.0,	8.057102364059078e-11,	1.323430177304431e-12,	9.923826040201044e-13,	1.3359449689679626e-12,	1.7992272222305824e-11
26,	1.1530349999329448,	0.118,	0.0,	8.0287e-11,	1.3038569976428543e-12,	1.0218797777581838e-12,	1.5096879596287348e-12,	1.8053007923771904e-11
28,	1.15407,	0.118,	0.0,	8.026917474878668e-11,	1.3158514570500492e-12,	1.0601184457052595e-12,	1.7008737909226407e-12,	1.81915145948053e-11
30,	1.1549049999538064,	0.118,	0.0,	7.951408355828777e-11,	1.347303682015419e-12,	1.1114091157589094e-12,	1.8457044419455508e-12,	1.8244415548915845e-11
32,	1.15565,	0.118,	0.0,	8.061883033930681e-11,	1.3415051260467846e-12,	1.0835291936043626e-12,	1.888199012279263e-12,	1.81697988332537e-11
34,	1.1562599999642371,	0.118,	0.0,	8.0287e-11,	1.309622917529873e-12,	1.107886408291965e-12,	1.9964021464611976e-12,	1.8402093190627884e-11
36,	1.1568,	0.118,	0.0,	7.9859e-11,	1.3104343184049748e-12,	1.1153775160920795e-12,	2.1655372886209906e-12,	1.829095856971416e-11
38,	1.157264999974668,	0.118,	0.0,	7.966515194714351e-11,	1.3531392528847114e-12,	1.1352289907771527e-12,	2.2769576037055977e-12,	1.8206212989578005e-11
40,	1.15769,	0.118,	0.0,	7.968133337926145e-11,	1.3120666694098128e-12,	1.1601333294380656e-12,	2.3734000096166867e-12,	1.839366664683764e-11
42,	1.1580449999806284,	0.118,	0.0,	7.992797862149151e-11,	1.3670693255971519e-12,	1.137137662567333e-12,	2.4446062436735166e-12,	1.8432875776278183e-11
44,	1.15838,	0.118,	0.0,	7.975527224205648e-11,	1.3313887561415124e-12,	1.1611540411716462e-12,	2.7436871618876355e-12,	1.827953057777243e-11
46,	1.158669999985099,	0.118,	0.0,	7.96097061547957e-11,	1.3469366841483415e-12,	1.1712165648685347e-12,	2.850060925458938e-12,	1.8478e-11
48,	1.15894,	0.118,	0.0,	7.980554373927839e-11,	1.3500922295447848e-12,	1.1683e-12,	2.8348980494119045e-12,	1.8403330107429564e-11
50,	1.1592049999836087,	0.118,	0.0,	7.96296693662749e-11,	1.3468933853904379e-12,	1.1784885776972114e-12,	3.1502224412768914e-12,	1.8380244482450198e-11
52,	1.15952,	0.118,	0.0,	7.967360175908069e-11,	1.324843769246695e-12,	1.2183552134192565e-12,	3.2676116159969482e-12,	1.8458427314942365e-11
54,	1.1597049999895692,	0.118,	0.0,	7.945756212672157e-11,	1.3568e-12,	1.2150189388023817e-12,	3.369249701377255e-12,	1.8344544393226e-11
56,	1.15989,	0.118,	0.0,	7.9432e-11,	1.3442312617432508e-12,	1.2131244475819505e-12,	3.4222951801457986e-12,	1.8422835681087648e-11
58,	1.1600499999940395,	0.118,	0.0,	7.968045175573897e-11,	1.3371053341810439e-12,	1.1865960536314866e-12,	3.4611015860714635e-12,	1.8311453644277577e-11
60,	1.15996,	0.118,	0.0,	7.9432e-11,	1.3171800007546063e-12,	1.211419998689855e-12,	3.569e-12,	1.8326e-11
62,	1.1601199999910594,	0.118,	0.0,	7.9432e-11,	1.334802376755927e-12,	1.243196843375443e-12,	3.658358592521463e-12,	1.8371836319757426e-11
64,	1.16026,	0.118,	0.0,	7.95751755148807e-11,	1.3394372768881624e-12,	1.2051327427261167e-12,	3.6067550310555504e-12,	1.829213412879871e-11
66,	1.1603949999925494,	0.118,	0.0,	7.97276154618455e-11,	1.34659999482721e-12,	1.2489769226790163e-12,	3.662884566839971e-12,	1.823361532076941e-11
68,	1.16052,	0.118,	0.0,	7.930821360846991e-11,	1.3717844684874285e-12,	1.2233029132899382e-12,	4.002345635770936e-12,	1.8415300975687554e-11
70,	1.1606299999940395,	0.118,	0.0,	7.89004596414222e-11,	1.3289790905953035e-12,	1.2174035518492253e-12,	3.847159961641411e-12,	1.82535285794296e-11
72,	1.16074,	0.118,	0.0,	7.870992411498961e-11,	1.3266469398772642e-12,	1.209150435617935e-12,	3.9374399106057594e-12,	1.8478e-11
74,	1.1608549999925495,	0.118,	0.0,	7.87333482315138e-11,	1.327416719302529e-12,	1.2284e-12,	4.0946e-12,	1.8447220204295403e-11
76,	1.16096,	0.118,	0.0,	7.934526334530293e-11,	1.3408167125663066e-12,	1.2109e-12,	4.083223722490916e-12,	1.8546718156284912e-11
78,	1.1610599999940394,	0.118,	0.0,	7.891822448092987e-11,	1.3491667680196592e-12,	1.2626093302060109e-12,	4.2846912547420155e-12,	1.8611221585152155e-11
80,	1.16115,	0.118,	0.0,	7.928950692095789e-11,	1.3462132155144198e-12,	1.2257617348503089e-12,	4.206725645258527e-12,	1.8349108470114442e-11
82,	1.1612399999940395,	0.118,	0.0,	7.939511644373508e-11,	1.3515921112601293e-12,	1.2432272200674155e-12,	4.392763522190329e-12,	1.8334765268665307e-11
84,	1.16132,	0.118,	0.0,	7.938188170158457e-11,	1.3525834335757334e-12,	1.218576332275576e-12,	4.445892898699843e-12,	1.8444544385359688e-11
86,	1.1614149999955297,	0.118,	0.0,	7.942865485029005e-11,	1.3224581791920291e-12,	1.2606491180628183e-12,	4.343050830444409e-12,	1.832637869619358e-11
88,	1.1615,	0.118,	0.0,	7.85879669285532e-11,	1.325879080644661e-12,	1.2436682699738193e-12,	4.458286188954467e-12,	1.847739139927114e-11
90,	1.1615949999955297,	0.118,	0.0,	7.942952767960807e-11,	1.3368204013541433e-12,	1.2451813354173912e-12,	4.509897358697609e-12,	1.8326e-11
92,	1.16168,	0.118,	0.0,	7.9326e-11,	1.3734358950243403e-12,	1.235338461856787e-12,	4.433169232057002e-12,	1.8517641015898333e-11
94,	1.1617599999940396,	0.118,	0.0,	7.9432e-11,	1.3233213839908303e-12,	1.2470495647644695e-12,	4.6301064310686505e-12,	1.851229540130201e-11
96,	1.16187,	0.118,	0.0,	7.93357219099347e-11,	1.3652994064224875e-12,	1.246149120120385e-12,	4.806142580281094e-12,	1.8518736670722603e-11
98,	1.1620249999955297,	0.118,	0.0,	7.9007e-11,	1.3216218938049977e-12,	1.2503260331881425e-12,	4.929112221983177e-12,	1.85009072714127e-11
